,mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
0,dca632f89509,1648708577.2672923,385.85230334935153,357.99441336423115,175.58188972670274,449.40182465139145,391.3080627842979,374.1443571671234,348.0531568596958,328.68982338977276,344.7259781333574,344.81879299133334,332.00150602068055,329.3706119252293,303.9819073563425,308.58548248418947,312.2579062249665,336.8679266418814,336.2647766269908,346.7636082405419,383.3288405533818,393.40691402160184,415.23246501207007,431.7800365927077,454.0495567666596,468.18158870250335,502.5385557347814,537.8633655492815,575.8168111474342,623.0906836087345,645.7933105878382,683.5122529991689,731.4765888256438,850.8542765949995,130.64838307457157,956.4705954706606,881.2048569997785,889.2333776911436,902.7319646495298,916.0753244138824,933.7033790235527,951.3148795220224,963.7935463573099,972.7656449525754,974.3100122650901,973.6308335298344,977.53005068898,980.3412671105914,967.1504536523777,936.9765205169231,899.3442055186657,892.6118977472796,880.8251812930872,879.1592574727289,885.4784017693486,884.0458132925013,900.8107459394565,903.3327183269739,909.7626063979548,908.0231274587669,931.0402783983086,959.713498915171,960.6268786578897,526.1606218637043,163.21764610482532,241.67126432408136
1,dca632f89509,1648708578.2398148,385.85230334935153,357.99441336423115,175.58188972670274,449.40182465139145,438.2750278078823,419.75349909202663,412.0594617285229,416.19226326302606,415.98677863605235,401.2206375549493,408.14213210596137,344.28476585524373,436.033255612459,429.7964634568321,423.3402886567731,429.33087473416117,425.8368232081392,454.1035124286092,495.5643247853905,502.63406171886123,507.2770446215756,516.7475205552514,531.0414296455598,553.5205506573355,575.174756052454,577.7516767608728,616.2921385187385,647.7237065292577,654.2002751451577,674.8933249040177,709.1882683744846,803.0896587554842,130.64838307457157,826.8494421598167,815.3060774948265,809.8604818115278,808.0445532271101,827.3336690840039,825.1557428752466,828.944509602422,854.92689745966,847.4302331165676,846.73077185136,867.5004322765493,870.7267079859214,860.0383712370048,855.9351610957456,839.1573154063545,816.3197902782953,799.4322985719303,789.3541663917408,791.0120100226039,800.9051129815566,798.6770310957991,830.3041611361465,838.9308672351972,836.4358911476719,838.7347614114965,861.113813615831,875.3742056971978,895.8442945065844,526.1606218637043,163.21764610482532,241.67126432408136
2,dca632f89509,1648708578.2407036,385.85230334935153,357.99441336423115,175.58188972670274,449.40182465139145,405.5712021334848,406.3988188959215,461.06940909151626,479.0260953225826,413.42472107990835,384.4164408554868,417.3367944478416,421.473605342019,429.4706043491219,414.12075533592855,383.4436073270749,420.04404530953656,456.32554169145516,445.6545747549328,483.91011562065944,475.09577981708065,473.4057456347567,510.2401395421571,523.2485069257245,532.0084585793726,553.5964233988511,593.6606774917807,617.1102008555685,640.8993680758314,613.1761573968772,657.8001216175016,725.9042636601606,836.9617673466333,130.64838307457157,866.8033225593912,798.1591320031363,796.0904471226872,798.7696789438116,800.2124717848379,819.9786582588598,831.1076945859664,840.1166585659399,852.2188686012531,855.7879410227746,858.9342233256281,858.7549126497036,845.6961629332369,844.839037923793,830.7550782270307,806.8388934601504,789.6359920874935,795.0880454389942,803.5527362905312,802.8374679846476,808.7570710664606,812.7041282041084,811.1060349917266,824.0831268749531,855.6412799766033,866.8223578104108,857.3120785338324,889.5504482602435,526.1606218637043,163.21764610482532,241.67126432408136
3,dca632f89509,1648708578.2414815,385.85230334935153,357.99441336423115,175.58188972670274,449.40182465139145,395.6071283483148,418.1219917679528,409.5473110643018,390.2883549377306,392.86766219682676,405.73883225543005,387.85693238615704,400.5358910260103,373.01474501686926,380.64287724847816,390.25120115125844,401.9564653043909,397.60910452352573,402.7331622799394,458.36775628309636,463.51914739307153,480.5257537323052,478.37746602447737,489.6631495221996,488.5284024496426,529.7593793412251,537.7889920777479,573.097722905963,597.7624946414754,583.7979102394937,628.8163483879853,697.6653925772727,742.8303978702003,130.64838307457157,805.7840901879362,785.0636916836748,755.6831346536721,735.6113104078811,775.7609167778434,782.2697744384606,778.5435119503597,799.4979674770913,800.0006249997558,798.0507502659214,804.3239397158336,816.3559272768221,800.42801050438,794.4255786415742,771.2515802252855,761.9770337746407,747.4770899499194,740.7685198494871,744.3037014552594,751.4020228878812,746.3276760244122,780.1442174367506,773.2541626140786,773.6853365548554,787.7867731816776,812.9710941970815,827.7251959436779,818.2181860604175,526.1606218637043,163.21764610482532,241.67126432408136
4,dca632f89509,1648708578.2422354,385.85230334935153,357.99441336423115,175.58188972670274,449.40182465139145,395.5363447270048,402.7319207611932,385.9961139700761,374.8132868509333,396.79339712248236,399.7861928581326,383.2557892582968,388.63093031821336,370.46592285930967,374.2859869137502,376.64970463283254,400.5358910260103,395.98989886106943,413.84175719712,457.91920684767086,474.9336795806337,495.1009997970111,473.92509956743163,480.57985808812253,472.84775562542325,544.1323368446319,537.2010796712904,582.8790612125298,602.0664415162167,581.3097281140235,632.4871540197477,700.1742640228931,745.0939538071692,130.64838307457157,800.5623023850173,768.492029887103,762.9023528604431,741.3103263816039,782.6269865012323,790.7445858176962,791.0562559009314,807.5208975624098,786.4146488971323,769.3555744907552,803.9060890427438,818.1301852394887,809.6134880299364,810.364115691212,768.2740396499155,761.1655536084118,731.226367139479,754.1465374845926,744.6408530291633,758.1721440411801,745.2207726573381,771.8872974728888,766.5872422627447,781.9980818390798,793.7883848986454,822.9823813423955,818.1839646436491,821.7158876400042,526.1606218637043,163.21764610482532,241.67126432408136
5,dca632f89509,1648708578.2571306,385.85230334935153,357.99441336423115,175.58188972670274,449.40182465139145,408.48010967487755,415.44434043563524,391.89411835341446,389.44319226300513,404.93085829558606,409.18088909429775,397.7247792129628,391.72566931463655,370.5199049983685,378.8680509095482,387.2841334214455,405.2307984346698,385.2025441245164,414.33561275854623,451.3103145287065,471.7806693793208,484.92886076207094,458.22483564294066,476.8983120121102,482.11305728013633,523.4739726099092,532.4556319544381,571.8050367039451,591.2740481367333,571.5732673944785,620.7100772502408,683.0885740517111,727.7039233094735,130.64838307457157,803.1319941329695,766.6863765582378,742.1495806102703,735.0782271296029,759.2127501563708,764.0536630368315,759.8855176932905,791.6065942120492,780.5158550599725,781.3200368606964,781.9469291454503,800.1406126425529,802.5260120394852,800.7053140825282,766.7828897412878,746.4743800024218,746.1990351106064,730.0609563591248,729.4004387166216,738.7827826905551,741.5369174896149,775.915588192427,770.0805152709682,767.440551443563,786.2575913782963,804.5321621911705,821.6519944599416,813.9686726158446,526.1606218637043,163.21764610482532,241.67126432408136
6,dca632f89509,1648708579.2652426,385.85230334935153,357.99441336423115,175.58188972670274,449.40182465139145,480.63499664506327,470.55074115338505,441.27655727446023,448.5900132637819,459.6194077712559,466.7676081306414,456.0844220097854,439.01822285640947,439.01822285640947,436.2487822332574,427.69147758635546,472.78430600010404,473.2377837831633,495.3907548592323,525.9087373299668,537.4030145058734,567.8635399459979,572.2045088952026,568.0079224799598,584.1104347638382,619.864501322668,616.4186888795634,663.1930337390464,668.861719640166,676.7569726275452,721.2835780745323,780.3691434186773,832.5094594057175,130.64838307457157,892.647746874432,848.8686588630776,808.2338770430252,808.2338770430252,821.7177130864345,830.2752555628766,834.1372788696115,859.4073539364206,852.6623012658646,848.1043567863568,839.0780654980798,848.2670570050449,826.2693265515791,816.2971272765818,789.9379722484545,780.7944671935118,768.1731575627985,747.1813702174326,752.8353073548026,752.0877608364598,748.3588711306895,778.8228296602508,788.396473863246,795.2314128604327,786.2073517845022,793.1462664603547,823.8112647930957,850.8489877763269,526.1606218637043,163.21764610482532,241.67126432408136
7,dca632f89509,1648708579.265874,385.85230334935153,357.99441336423115,175.58188972670274,449.40182465139145,469.9978723356096,459.9326037584202,456.0975772792484,455.38555093458996,462.6229566288296,452.9127951383136,436.3714014460618,416.293165929973,448.41498636865384,452.3549491273418,449.5019466031265,473.48284023816535,485.7087604727755,494.453233380064,515.6442572161548,528.5196306666385,557.1588642389171,579.7671946566139,588.0901291468851,598.7754169970574,613.2674783485588,632.8230400356802,640.257760593341,660.2128444676005,683.0885740517111,706.8557137068357,752.6008238103384,869.7367417787982,130.64838307457157,907.0920570702843,825.4089895318563,816.4441193370187,811.0881579705131,821.3379328875538,826.2929262676765,830.6509495570326,838.6375856113295,837.9791166848969,836.459801783684,849.2184642363825,840.2094976849523,821.8765114054544,816.9712357237554,790.0544285047708,770.9559001655024,761.0781825804758,756.0800222198706,754.6363362574056,770.0805152709682,753.239669693518,768.8497902711556,776.2576891728673,795.7047191012505,794.433131232579,804.2698552103019,834.275733795488,840.0404752153315,526.1606218637043,163.21764610482532,241.67126432408136
8,dca632f89509,1648708580.2630408,385.85230334935153,357.99441336423115,175.58188972670274,449.40182465139145,482.6033568055655,490.0163262586258,474.43545398715725,475.0831506168157,481.20369907140156,480.02604096027954,457.4232176005062,451.3103145287065,455.518386017513,455.8826603414523,464.45667182203334,477.582453614033,497.0120722879878,506.4484179065031,528.3795983949418,549.713561775585,561.2566257960791,578.6363279297283,586.5023444113416,608.2104898799428,617.154761789942,627.7993309967763,645.0310070066399,663.8207589402429,695.6328054368914,711.7935093831637,751.8630194390465,862.9721895866634,130.64838307457157,899.8538770267093,827.7106982515087,805.769818248363,809.246563168482,815.1987487723469,823.3407557020362,812.7385803565621,833.7637555087173,833.9142641782787,848.1255803240462,842.4446569359912,825.2351180118307,819.8298603978754,801.2090863189209,794.2417767909216,766.765283512497,754.5926053175979,743.5280761343179,736.4835368153181,734.4337955186975,732.8533277539237,748.4149918327398,756.4000264410361,771.4726177901586,764.476945368531,769.1118254194249,804.6769538143864,803.0224156273597,526.1606218637043,163.21764610482532,241.67126432408136
9,dca632f89509,1648708581.2647583,385.85230334935153,357.99441336423115,175.58188972670274,449.40182465139145,638.0195921756635,626.2587324740471,647.7345135161473,649.465164577747,599.1877835870822,521.8055193268849,634.9716529105847,590.7622195096772,739.6870960074942,532.0084585793726,559.396996774205,439.35520936936666,548.799599125218,543.6221113972463,499.769947075652,538.2508708771403,500.7284693324317,485.23190332046386,489.9112164464088,503.43817892567506,492.19711498544973,503.40540322884897,507.6731231806545,505.98023676819633,567.3869931537029,553.8131453838921,615.0447138216863,696.8400103323575,130.64838307457157,773.8016541724371,716.8486590627062,688.8171019944264,712.4022739997396,690.9044796496836,758.1695061132438,755.0158938724403,763.6340746718942,789.3414977055241,850.1117573589958,828.8335176620212,834.4159634139318,850.1135218310552,821.6629479293806,815.8045108970654,782.6269865012323,804.5135175993005,824.4185830025909,818.4063782742654,863.173794782951,838.1527307120105,856.808613402083,863.5861277255442,885.7832692030257,946.9318877300522,947.3568493445329,990.6735082760616,993.3403243601863,526.1606218637043,163.21764610482532,241.67126432408136
