mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63,label
b827ebba9e7b,1648722363,385.8523033,357.9944134,175.5818897,449.4018247,279.8660394,287.8367593,336.3599263,372.2633476,391.4345411,425.0,439.118435,495.8074223,492.4408594,539.0333941,583.5589088,626.56923,678.4054835,705.2836309,739.9276992,772.5347889,791.3640123,812.8007136,826.4526605,830.5353695,834.4369359,840.3529021,806.9752165,785.9421098,745.4186743,723.6159202,695.865648,667.7012805,130.6483831,557.9507147,501.4957627,499.6528795,457.2198596,434.0046083,436.0240819,443.5696112,491.366462,555.0207203,580.3447251,617.9360808,654.9870228,655.6165038,694.2117832,747.869641,733.8698795,756.8916699,779.6050282,769.8844069,807.6063397,801.1304513,814.8864952,823.9569163,837.6902769,793.9584372,735.2557378,728.7804882,761.1602985,526.1606219,163.2176461,241.6712643,1
b827ebba9e7b,1648722364,385.8523033,357.9944134,175.5818897,449.4018247,344.0959169,387.5358048,436.5329312,488.7371482,509.8244796,547.9215272,575.4024678,609.725348,644.6099596,666.6070807,712.4843858,756.725842,803.1319941,841.2431278,863.6926537,882.4222345,908.3270336,921.3126505,928.4207021,903.8727787,881.0595894,868.8900966,856.9305689,848.037735,807.1982408,749.5385247,675.6581976,673.9888723,130.6483831,631.5061362,524.3815405,487.6402362,455.8080736,397.6455708,339.4377704,260.6184951,222.1711052,200.4120755,166.1475248,131.5294644,101.414989,134.0820644,195.8187938,228.0438554,252.6855754,290.0844705,326.032207,366.9345991,380.5955859,371.4040926,399.0613988,408.2401254,437.5065714,444.5672053,439.2095172,454.1585626,456.002193,526.1606219,163.2176461,241.6712643,1
b827ebba9e7b,1648722364,385.8523033,357.9944134,175.5818897,449.4018247,591.3137915,633.5526813,686.5311355,716.3379091,718.7523913,705.866843,724.6523304,804.4134509,853.501611,897.8574497,914.3937883,914.41402,921.2350406,941.6883773,951.3133028,943.8394991,926.0048596,901.4488338,871.6249193,835.8115816,784.1084109,759.4379501,681.6949464,643.6839286,606.052803,551.0462775,460.7927951,437.0926675,130.6483831,294.4961799,204.9194964,194.1648784,161.9413474,129.0736224,161.6044554,257.7750958,338.9041162,428.0292046,490.1693585,514.7358546,547.803797,601.3118991,651.7008516,697.2840167,721.7097755,730.8604518,766.1024736,809.4325173,831.9405027,816.9724598,788.9030359,762.8433653,782.1662227,803.0168118,807.5456643,780.1499856,739.4714328,526.1606219,163.2176461,241.6712643,1
b827ebba9e7b,1648722364,385.8523033,357.9944134,175.5818897,449.4018247,565.5174622,587.5619116,591.0135362,597.8043158,599.0409001,597.2143669,594.0,602.9610269,599.1060006,602.8440926,596.7285815,576.2126344,544.4134458,505.3414687,467.3157391,434.8838926,401.8768468,368.0665701,318.6502785,258.9536638,194.1236719,120.3411816,92.26592004,75.95393341,94.84724561,141.8203088,204.1200627,218.6000915,130.6483831,318.3237346,416.2547297,445.7319822,482.9171772,530.8493195,592.4229908,658.5537184,704.0298289,742.2755553,769.9305163,789.9493655,800.6260051,810.5436447,813.6590195,821.1899902,828.1799321,839.5093805,845.0591695,839.3676191,821.002436,813.7935856,776.0734501,765.7995821,761.552362,750.2013063,718.1322998,680.0772015,650.9109002,526.1606219,163.2176461,241.6712643,1
b827ebba9e7b,1648722364,385.8523033,357.9944134,175.5818897,449.4018247,560.800321,569.0430564,595.5249785,632.5693638,663.1930337,682.297589,695.848403,711.0028129,725.2806353,743.0706561,765.0941119,786.649223,806.1693371,821.2307836,829.5691653,827.4345896,820.4998477,809.3417078,795.9560289,778.9736838,757.9901055,718.9666195,691.2344031,650.7595562,609.7376485,573.034903,539.4163513,493.8522046,130.6483831,421.9881515,413.4247211,396.2953444,392.4754769,399.3219253,413.4561645,421.9052026,437.7225148,457.3488821,487.9364713,527.2817084,573.8640954,614.9154413,644.2150262,644.2150262,672.2477222,685.2999343,700.0092857,713.7534588,723.2019082,740.8171164,746.4509361,760.5530882,770.553697,766.1050842,750.3232637,743.3794455,763.062907,526.1606219,163.2176461,241.6712643,1
b827ebba9e7b,1648722365,385.8523033,357.9944134,175.5818897,449.4018247,539.7378994,600.344068,578.8350369,598.3393686,609.3701666,643.292313,625.5637458,637.5578405,624.5414318,651.4146145,667.0832032,687.0029112,646.4835651,644.0496875,670.7503261,622.5182728,608.3132417,600.3140845,542.5311051,541.4148132,505.8537338,472.2393461,413.6967488,443.4241762,389.5664257,388.3258941,388.2782507,421.5447782,130.6483831,408.4311447,468.8976434,495.7670824,486.7730477,555.1333173,573.034903,615.241416,636.8924556,648.6424285,712.8323786,688.0995568,737.143134,768.4224099,768.2877065,735.8838224,717.5095818,738.8321866,686.2215386,666.1080993,660.6882775,627.8733949,674.0066765,654.5846011,618.207085,608.7446098,622.7230524,606.614375,569.5700133,526.1606219,163.2176461,241.6712643,1
b827ebba9e7b,1648722365,385.8523033,357.9944134,175.5818897,449.4018247,529.638556,542.9373813,579.3530875,614.3695956,630.9690959,640.8244689,652.1794232,685.8002625,712.9684425,743.4924344,763.2483213,772.1172191,768.4920299,762.194857,758.0514494,754.2048793,749.082105,736.7394383,716.0405016,684.2287629,643.5930391,617.4593104,550.8702207,504.6999108,462.8477071,424.2381407,388.1043674,382.8589819,130.6483831,323.5197057,319.9906249,330.2559613,345.9609805,366.6619697,392.3531572,430.1743832,456.7548577,491.016293,522.6557184,546.8939568,566.2623067,581.2761822,598.5323717,617.5111335,641.0124804,663.3649071,677.3573651,678.9167843,668.2544426,656.0190546,644.8573486,649.8038165,663.6181131,671.4767308,662.0641963,642.6585408,626.2587325,526.1606219,163.2176461,241.6712643,1
b827ebba9e7b,1648722365,385.8523033,357.9944134,175.5818897,449.4018247,607.2536538,634.7479815,668.1377104,699.3461232,723.5917357,737.0549505,748.3615436,756.5950039,777.9460136,799.0400491,822.0492686,843.2627111,856.703566,865.3554183,865.9237842,858.9912689,848.3218729,831.9735573,808.8930708,780.3569696,748.4149918,711.2496046,661.6381186,609.4989746,552.9575029,497.5188439,440.2385717,392.2307994,130.6483831,264.2366364,224.0089284,160.863296,102.9028668,79.0253124,115.0391238,169.0946481,229.7520403,288.3123306,347.3240562,406.6017708,465.4889902,520.3556476,570.954464,612.3895819,647.6789328,675.6367367,701.9009902,724.5170805,747.869641,756.7364138,788.4833543,807.5400919,820.7466113,825.5289214,823.6510183,811.6378503,785.7105065,526.1606219,163.2176461,241.6712643,1
b827ebba9e7b,1648722365,385.8523033,357.9944134,175.5818897,449.4018247,700.0114285,724.0441975,747.5299325,747.5299325,779.6928883,814.1750426,822.944105,802.7515182,851.8597302,855.0725115,870.9931113,902.685438,904.8032935,914.8223871,924.3592375,941.7669563,925.8774217,920.6823556,897.3962336,839.8690374,839.9434505,790.1170799,752.2898378,721.4991337,657.43821,570.3621656,470.9787681,282.9363886,130.6483831,215.58525,243.6329206,297.6995129,285.0350856,203.6565737,160.3277892,138.6001443,95.0,87.05170877,161.2203461,192.6291774,294.6133059,388.8920159,407.9656848,464.8021084,490.8115728,525.5872906,582.4448472,612.955137,616.6595495,650.4183269,693.6000288,724.1063458,738.6183047,759.3661831,738.3901408,722.4956747,696.8966925,526.1606219,163.2176461,241.6712643,1
b827ebba9e7b,1648722365,385.8523033,357.9944134,175.5818897,449.4018247,460.5757267,524.7951981,553.4509915,547.6175673,570.2113643,596.8584422,631.9216724,665.6222653,718.41005,740.2330714,729.0171466,751.9261932,827.4206911,855.6564731,810.8773027,814.4900245,872.9765174,856.3790049,868.0812174,802.1003678,800.9001186,803.8270958,755.1172094,753.3292773,741.6016451,720.6677459,651.6594202,609.2158895,130.6483831,562.441108,467.0171303,444.5964462,386.4932082,402.9416831,381.0262458,343.2142188,317.3546912,339.023598,348.2814953,349.5725962,355.8033165,269.8184575,316.8296072,379.6972478,390.8004606,381.367277,416.9904076,413.7692594,403.4017848,419.3006082,424.4078227,431.2818104,472.2711086,419.4591756,458.2684803,473.016913,479.1043728,526.1606219,163.2176461,241.6712643,1
