,mac,time,_0,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42,_43,_44,_45,_46,_47,_48,_49,_50,_51,_52,_53,_54,_55,_56,_57,_58,_59,_60,_61,_62,_63
0,dca632f89509,1648722362.5133607,385.85230334935153,357.99441336423115,175.58188972670274,449.40182465139145,677.2953565469056,670.1417760444427,646.8423300928906,642.7223350716855,651.7461162139748,643.7095618367028,642.0225852725121,625.8442298208078,633.0908307660126,622.9614755344026,657.6351572110482,678.4283307763613,673.0185732949723,714.2807571256558,765.634377493592,787.2998158262201,810.38571063414,810.0302463488632,812.2961282685028,835.101191473225,888.8869444423177,892.9232889783982,928.0393310630751,938.7358520904589,927.0436882909025,978.0644150565953,1039.8403723649126,1094.3801898791846,130.64838307457157,1106.8694593311354,1060.3570153490757,990.4261708981644,947.0300945587737,944.4771040104678,929.7580330387041,891.1857269952206,876.0576465050688,816.5794511252411,796.7860440544877,775.3192890674138,760.6056797053253,734.000681198594,693.8767902156693,638.4426364208456,579.2969877359972,570.9614698033485,534.5745972266172,519.7730273879167,506.32005688102066,510.3253863957779,496.6699105039483,494.2974812802509,485.1278182087686,446.28466251933867,436.81803992051425,450.2110616144388,452.3593704125073,526.1606218637043,163.21764610482532,241.67126432408136
1,dca632f89509,1648722362.7894657,385.85230334935153,357.99441336423115,175.58188972670274,449.40182465139145,764.5299209318102,777.359633631693,785.7544145596638,792.2783601739984,749.9633324369933,772.1813258555272,739.710754281699,759.9592094316641,778.2550995656886,782.6295419928895,808.1392206792094,788.8852895066557,833.746364309914,850.6144837704094,880.7979336942157,914.0547029581983,939.9728719489727,973.4197450226701,979.2267357461192,976.7440811184882,977.2681310674159,1002.5766803591633,982.5991044164451,982.1104825832988,992.5421905390218,982.0183297678308,1044.1082319376665,1166.4994642090496,130.64838307457157,1150.8336109099353,986.1972419348981,921.5378451262867,908.3666660550683,856.3089395773,816.5451610290762,787.737265844393,736.856159640401,725.6121553557382,701.8390128797344,653.6941180705238,585.7798221174916,534.7335785229875,501.10378166603374,481.00103949991626,439.17194810233497,401.5133870744536,395.05569227641814,395.18097120180266,363.03443362854716,337.6684764676738,307.6117683054405,320.73197533142843,282.36324123369883,312.27071588607214,314.5155004129367,281.7268180347764,264.7508262498911,526.1606218637043,163.21764610482532,241.67126432408136
2,dca632f89509,1648722362.8001325,385.85230334935153,357.99441336423115,175.58188972670274,449.40182465139145,734.4576230117025,746.1527993648486,722.9412147609237,722.386323237089,694.3097291555117,699.0851164200251,703.6149515182292,697.3643237218262,728.0116757305476,742.0545802028312,758.8445163536467,759.0230563032983,791.0025284409652,813.7622502918159,828.0175118921097,845.0,874.3094417882035,904.4760914474191,906.047460125572,927.3370476800762,901.892454786046,947.8507266442327,929.7580330387041,916.8843983840056,928.3474565053755,910.817215471908,963.9927385618628,1070.2242755609686,130.64838307457157,1064.2917833000497,920.3852454271527,843.4524290082992,845.6015610203189,792.1975763658962,756.6901611624139,741.7277128434665,685.5216991459862,658.2377989754159,646.7433803294781,590.1067700001416,532.6997278016951,492.0985673622714,456.01754352217637,445.97085106540317,401.1234224026316,361.5093359790311,358.12986471390514,347.82898096622137,342.54634722910123,306.32009401931174,298.7657945615595,275.9655775635795,277.04512267859906,290.9931270666027,291.8030157486382,263.4539808012018,236.75514777930383,526.1606218637043,163.21764610482532,241.67126432408136
3,dca632f89509,1648722363.0009863,385.85230334935153,357.99441336423115,175.58188972670274,449.40182465139145,715.8051410824038,746.5011721357174,718.4037861815596,722.7129443977049,708.3572544980393,695.0582709384876,691.4130458705563,682.8975032902083,706.7729479825894,727.3321112119278,737.9031101709763,742.8492444635049,767.6157893112934,800.3905296791061,831.7120896079364,861.9448938302262,880.2476924139023,864.3807031626748,859.5871101872108,842.1217251680424,876.4274071479052,855.102333057278,858.3938489993973,848.8262484160113,806.6529613160792,828.8262785409256,847.4396733691432,890.1263955191981,130.64838307457157,860.356321531957,794.219742892356,733.1473248945263,712.7818740680771,702.1402993704321,666.9527719411623,641.237085639937,605.0264457029957,546.1071323467585,544.390484854392,494.0212546034836,501.339206525881,478.715990959149,460.92515661439006,416.2703448481527,381.3200755271088,357.6171136844544,348.60436027106715,348.1910395171019,355.18586683594265,368.26620806150544,363.05509223807894,386.9483169623561,395.37956446938426,384.42164351139235,416.120174949497,450.2454885948331,431.5101389307093,526.1606218637043,163.21764610482532,241.67126432408136
4,dca632f89509,1648722363.100534,385.85230334935153,357.99441336423115,175.58188972670274,449.40182465139145,723.8957107208192,715.1454397533414,717.0955305954709,733.529822161308,672.4856875800406,683.1639627497926,672.3942296004628,687.4256323414191,697.5227594853088,730.3492315324224,740.5572226371166,738.7773683593725,782.6851218721357,795.4897862323563,826.9679558483509,838.6000238492722,892.5032212827022,826.6686155891005,856.4327177309377,844.593393296443,858.4322920300704,870.6055363940663,881.0834239730084,838.5469575402441,810.4498750693963,847.4060419893169,908.2433594582457,948.9452038974642,130.64838307457157,923.7185718604991,794.7351760177726,745.3489115843666,704.8694914663281,704.4352347803168,650.4959646300659,628.5515094246454,594.7982851353894,573.307945174319,532.8536384411765,495.3312023283007,454.9428535541579,438.525939939703,422.6890109761549,417.612260356422,403.3174928018868,357.07702250354896,360.01111093964863,361.9419843013518,372.6902198877776,349.14323708186015,335.37143587371895,335.8764653857129,350.7035785389137,405.2776825831889,405.2468383590426,373.52376095772007,381.32925405743526,526.1606218637043,163.21764610482532,241.67126432408136
5,dca632f89509,1648722363.200207,385.85230334935153,357.99441336423115,175.58188972670274,449.40182465139145,656.2088082310386,652.1242212952989,627.6248879705138,619.2842642922553,602.8897079897782,603.2992623897364,594.972268261303,631.9058474171608,617.1393683763822,624.0937429585398,646.7920840579297,660.8638286364295,680.2132018712956,710.6848809423203,735.6969484781081,763.4690563474069,795.0974783006169,815.4569271273622,822.8493179191437,829.9427691112201,836.4000239120035,836.4000239120035,847.0678839384716,847.6626687544994,861.2665092757294,873.615476053395,912.7743423212552,1014.3594037618028,130.64838307457157,1011.1399507486587,874.7393897613163,826.7587314325746,797.880316839562,762.2866914750643,727.9484871884823,711.9978932553101,671.4975800403156,643.232461867403,623.0072230720925,592.9291694629301,546.6269294500592,502.8339686218504,470.1159431459435,448.26443088873333,423.1784493567696,393.41199778349414,378.8680509095482,367.1103376370652,359.844410822233,345.8279919266224,336.94213153002994,328.87687665751145,332.48759375351136,341.67235767618075,330.71135450721977,325.53033652794943,338.0,526.1606218637043,163.21764610482532,241.67126432408136
6,dca632f89509,1648722363.3005848,385.85230334935153,357.99441336423115,175.58188972670274,449.40182465139145,677.9100235281966,683.4917702503813,680.1058741107887,670.090292423342,637.3860682506325,637.1012478405611,611.8986844241455,662.5262258960018,654.2812850754635,672.5191447089071,681.9186168451482,680.5365530226867,720.9105353648259,749.6939375505181,778.9768931104439,806.149489859046,851.2543685644144,882.32703687465,914.595539022578,930.2397540419352,956.2520588213131,974.2946166329772,989.2042256278528,984.0325197878371,1017.8334834342993,1020.1259726131866,1087.4433318568836,1195.0916282863,130.64838307457157,1180.650668064013,1032.0019379826765,1032.0019379826765,940.6689109351919,917.0081788075829,868.8250686991024,863.1135498878465,795.5029855380808,774.5844046971254,762.4965573692775,704.0369308495116,639.0500762851061,598.9206959189171,570.5479822065801,545.3228401598451,511.3443067053744,445.80825474636515,441.0770907675891,427.4681274668323,422.4038352098617,379.3481250777444,365.2998768135571,340.1543767173958,338.9985250705377,364.1977484828812,352.3932462462923,324.9015235421342,306.0669861321211,526.1606218637043,163.21764610482532,241.67126432408136
7,dca632f89509,1648722363.4016125,385.85230334935153,357.99441336423115,175.58188972670274,449.40182465139145,675.9186341565085,677.4872692530835,666.4082832618454,654.8473104472523,641.7631962024622,639.3621821784582,612.9151654185105,619.4360338243167,632.0458844103014,656.3794634203603,667.3080248281149,690.2615446336265,721.0554763678035,768.6097839606259,807.6756774844715,839.7815192060373,902.9296761099394,916.6896966803979,927.4233121935204,955.9565889725328,994.2157713494591,1006.553028906078,1020.8114419421444,1032.6301370771628,1037.1022128989987,1041.528204130834,1113.0732231079858,1203.946842680357,130.64838307457157,1196.622329726468,1083.342974316075,987.8137476265453,958.8534820294495,932.2413850500309,898.2694473263576,868.8843421307579,820.278611204754,784.118613476303,747.0542149000968,705.0822647039138,660.0946901770988,622.5921618523638,578.3165223301164,534.8439024612695,496.1219608120568,466.1812952060604,435.25854385640724,420.21542094501956,406.0541835765271,387.0051679241506,381.5049147783027,370.7991370000745,355.12814588539726,349.6569747624091,347.60466049810094,324.59975354272837,319.53090617340916,526.1606218637043,163.21764610482532,241.67126432408136
8,dca632f89509,1648722363.5018034,385.85230334935153,357.99441336423115,175.58188972670274,449.40182465139145,651.144377231348,621.4595722973459,603.9105894087303,585.7209233073376,596.9530969850144,592.1933805776623,593.6210912695067,584.2028757204127,584.4527354713981,582.1099552490062,598.5064744846125,631.5892652665972,642.4468849640413,687.4896362855225,746.354473423989,788.2493260384052,827.4406323114669,827.9432347691477,852.000586854258,888.9229437920927,949.5030279045981,995.6329645004729,1023.7392246075169,1049.41364580417,1052.7155361255004,1108.8214464015387,1192.6730482407993,1257.1181328737566,130.64838307457157,1289.8468901385156,1212.1159185490471,1136.7040072068014,1092.0242671296276,1087.7371005900277,1070.848728812805,1038.1714694596458,1014.8522059886355,968.7982246061354,936.810012756055,903.7815001425953,889.7302962134087,840.2648392024981,806.3808033429367,747.6075173511834,701.9095383309732,678.5469770030664,630.5180409790032,615.1723335781609,601.0074874741579,586.5603123294313,582.347834202206,574.2821606144491,565.3211476674121,527.099611079348,515.3882032022076,520.838746638535,526.0465758846834,526.1606218637043,163.21764610482532,163.21764610482532
9,dca632f89509,1648722363.6012604,385.85230334935153,357.99441336423115,175.58188972670274,449.40182465139145,446.9272871508295,449.6276237065512,448.2688925187649,427.15453877958504,403.93687625667457,425.39628583239886,425.7663678591817,420.7766628509713,442.712096062441,438.88153299039595,472.3060448480413,465.8003864317848,505.1940221340708,560.0723167591842,569.0140595802533,622.6756780218736,667.6922943991491,705.844883809467,737.360156233031,766.2023231497018,811.7320986630996,860.36329535842,879.3321329281672,921.7119940632215,945.1692970045102,976.3810731471601,1064.1061977077288,1196.2984577437187,130.64838307457157,1218.9864642398618,1093.2977636490436,1038.9538007053056,1030.827337627403,1021.5424611830875,989.3396787756974,987.1539900137161,949.5393620066521,943.9157801414276,892.4712880535709,866.2014777175111,834.021582454555,789.0050696922042,758.6731839204547,712.3496332560297,690.9355975776614,625.352700481896,620.7165214492039,599.6165441346661,566.0565342790418,544.1323368446319,542.2711498872128,537.4923255266069,532.6434079194072,525.669097436781,527.1906675957001,514.762080965566,509.59788068633094,526.1606218637043,163.21764610482532,241.67126432408136
